sessionId	categorys	items
777	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	909,664,663,910,594,855,664,663,910,594,911,347,252,251,311
779	5,5,5	912,556,913
780	2,2	914,572
781	0,0	639,915
783	5,5	916,89
785	2,2,2	917,878,918
790	1,1	919,920
794	5,5	921,332
797	1,1,1,1,1,1,1	922,923,645,924,923,922,923
798	2,2	925,926
799	2,2,2,2,2,2	161,910,911,594,911,23
804	0,0	123,927
805	2,2,2,2,2,2,2,2,2,2,2	587,790,587,588,928,929,930,587,931,587,588
807	2,2	848,849
810	5,5,5,5	932,933,934,935
811	0,0	165,516
814	3,3,3	936,937,938
817	5,5	479,939
819	5,5	940,941
820	8,4	942,483
825	8,8	943,118
828	2,3	701,944
830	0,0,0	573,122,123
831	0,0,0	889,945,946
832	2,2,2	947,850,848
834	2,2,2,2	749,948,949,664
835	0,0,0,0,0,0,0	950,781,184,950,184,781,184
836	4,4	951,952
837	0,2,2,2,2	116,440,953,954,441
839	5,5,5,5,5,5,5	955,956,957,958,959,70,960
840	2,2,2,2,2,2,2,2	244,961,962,54,53,371,244,246
841	2,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	963,964,965,966,967,499,968,969,314,31,970,529,971,972,973,974,975,976,977,978,979,980,517,26,981,81,982,116,30
846	2,2,2,2,2	983,984,985,986,987
847	8,4	988,882
850	1,1	989,990
852	5,5	374,991
864	2,2,2	161,911,594
866	0,2	754,992
867	2,2	993,875
868	1,1,1,1,1,1,1	994,995,994,995,994,996,994
869	2,5	94,555
870	4,4	997,998
874	2,2,2	999,1000,1001
875	5,5,5,5,5,5	1002,1003,1004,1002,1005,1006
877	6,6	1007,1008
879	6,6	1009,1010
881	3,3,8	1011,1012,1013
882	2,2,2	851,1014,851
883	2,2,2	88,493,88
887	0,0	1015,1016
896	2,2,3,8	893,1017,668,1018
899	2,2	1019,1020
901	2,2,2,2,2,2	1021,1022,1023,1024,56,244
904	8,8,8	687,60,1025
907	1,1	583,1026
909	2,2	425,424
911	0,0	116,30
913	8,8	1027,687
918	2,2,2,2,2,2,2	1028,1029,917,1030,243,250,879
923	2,2,2,2	1031,1032,1033,1034
926	0,0,0	681,1035,681
927	0,0,0,0,0,0,0,0	31,517,516,1036,1037,1038,516,26
929	5,5	602,1039
934	0,0	188,439
936	1,1,1,1,1,0,0,0,1	33,393,794,1040,34,287,1041,979,393
939	0,0	1042,968
942	0,0,0	439,188,439
943	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6	744,472,1043,1044,345,1045,1046,1047,1048,1049,458,618,620,618,620,256,1050,1051,256,1050,914,190,45,1052,1053,1054,1055
946	0,0,0,0,0,0,0,0,0,0,0	463,31,29,1056,31,979,1041,313,314,29,46
949	2,2	948,594
950	2,2	242,243
952	0,0	1057,63
955	2,2	1058,306
956	2,1,2	551,1059,551
957	8,2,0	1060,1061,31
960	2,2	248,242
961	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1062,1063,49,1063,1062,47,367,48,19,17,48,362,19,17,1064,520,366,852,18,49,367,48,17,1064,17,19,48
962	7,7,7,7,7,7,7,7,7,7,7,3	1065,1066,1067,1068,1069,1065,1070,1071,1072,1073,1074,1075
964	5,5,5,5,5,5,5,5,5,5,5,5,5	1076,1077,1076,227,449,450,230,450,1078,1079,1078,450,382
965	2,2,5,5,5	254,1080,806,724,1081
966	2,2,5,5	1080,254,806,724
967	8,8	687,60
970	5,5	379,1082
973	6,6	1083,1084
975	7,7	1085,1086
976	2,2,2,2	1087,1088,1089,444
979	2,2,2,2,2,2,2,2,2,2	1087,1090,1091,1092,1093,1094,1095,161,747,691
982	1,1,1,1,1,1,1	149,550,549,550,1096,1097,149
983	5,5	1098,602
991	2,2,2,2	1099,1100,993,1100
992	0,0	586,641
993	0,0	74,516
998	2,2,2,2,2,2	1101,1102,1103,1102,1103,1102
1002	2,2	1104,201
1007	2,2,2	1105,148,87
1008	0,0	188,74
1009	2,2	87,189
1010	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2	1074,1106,1107,1108,1109,711,1110,1111,1110,1112,1113,1114,1115,1116,1117,344,345,346,173,875
1012	4,8	370,215
1015	0,0	1118,1119
1018	2,2,2	911,910,1092
1019	2,2	1120,1121
1023	2,0	217,1122
1029	2,6,2,6	1123,97,1123,97
1032	2,2	1124,1125
1034	2,2,2	1126,246,245
1038	2,2,2,2,2,2,2,2	926,1127,1128,1129,368,1129,1130,1131
1039	2,2,2	179,1132,180
1040	2,2	1133,1134
1042	1,1	1026,1135
1046	5,5	1136,1137
1048	2,5,5,2	217,1138,383,1139
1052	2,2,2,2,2,2,2	428,429,429,1140,428,429,428
1054	5,5,5,5	1076,1077,671,226
1055	0,0	639,915
1056	5,5	1141,1142
1059	6,6	1143,1055
1061	2,2,2	1144,1145,1146
1063	1,1,1	1147,137,1148
1065	2,2,2	1149,1150,1151
1067	2,2,2,2,2,2,2,2,2,8,6,8,8	1152,49,48,1064,17,367,361,18,19,292,844,467,468
1068	2,2,2	248,266,248
1070	2,2,2,2	1153,263,552,189
1071	0,0	1119,1154
1072	1,1,1,1,1,1,1,1,1	13,11,13,11,13,585,13,151,13
1074	2,0,0,0,0,3	1155,401,400,122,120,1075
1075	8,0,0	988,1156,1157
1078	0,0,2,2,2,0,2,2	1041,287,160,161,664,194,470,622
1082	2,2	1158,1159
1084	4,4	703,370
1086	5,5	91,1160
1087	2,2	1161,1162
1088	0,0,10	486,871,1163
1090	0,0,0,0,2,2	1164,218,1165,31,1166,1094
1093	4,4,4	176,177,176
1094	0,0,0,0,0	63,1057,63,981,62
1096	5,5,5	1167,1168,1169
1098	5,5,5,5,5,5,5,5	1170,650,1171,1172,671,1173,1174,1173
1105	1,1	1175,1176
1108	2,2,2	242,265,1177
1109	2,2	1178,1179
1114	5,5,5,5,5	1098,602,1098,1039,1180
1115	2,2	664,161
1116	0,5,0	681,1181,1182
1118	8,8	1183,1184
1124	5,5	1185,227
1125	2,2,2,2,2,2,2,2	1186,1187,1188,1189,1190,626,1191,1192
1128	0,5,5,5,5,5,5,5,5,5,5,5	188,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203
1133	8,8,8	1204,163,1205
1138	4,4,4	1206,1207,1208
1147	2,2,2,2,2	1209,1210,1211,1212,1209
1148	2,2,2,2,0,0	161,168,160,161,781,545
1150	2,2	692,720
1152	2,2,2	875,873,874
1153	2,2,2,2,2	985,1213,857,1214,1120
1155	2,2	1215,1216
1156	1,0,0	521,543,544
1157	6,6	1083,1217
1159	0,0,0,0,0	714,1218,1219,738,978
1160	8,8	615,613
1161	2,6	1220,833
1162	6,2	833,1220
1165	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6	1007,1221,111,328,709,708,709,1007,709,111,709,111,709,111,709
1166	5,5,5,5	1222,1223,1224,1225
1169	5,5,5	1226,1227,1228
1172	0,0,0	1229,1230,1231
1174	2,2,0	1232,747,734
1177	2,2,2	508,1233,1028
1178	0,0,0	785,116,74
1180	2,2	180,1234
1182	2,5	1235,556
1186	6,6	85,1236
1188	0,0	1237,52
1189	5,5,5,5	1238,1239,1137,1240
1192	0,0	396,1156
1193	4,4,4	1241,1242,1243
1194	0,0,0,0,0	945,946,1244,889,1245
1198	5,5,5	1246,1247,1248
1203	0,1	573,121
1206	5,5	1249,1250
1207	6,5	821,1247
1208	2,2,2,2	305,1251,305,1251
1212	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3	1252,402,1253,400,122,123,125,124,1254,126,1255,1256,232,1257,128,171,343,50,133,132,133,1258,1259,400,1259,500,1260,927,1261,233,234,80,501,1262,1263
1213	5,5	1264,1265
1216	5,5,2,2	1266,1267,1268,760
1217	0,0,0,0,0,0,0,1,0	1269,1270,1269,290,1269,290,1269,737,1271
1220	2,2	1095,1272
1222	2,2,2	189,1273,965
1224	0,0	492,182
1228	2,2	702,1161
1230	2,2,2,2,2	843,1014,843,1014,843
1232	0,2	62,309
1233	0,0	188,199
1236	5,5	807,808
1237	1,1,1	521,522,1274
1238	2,2	1275,1276
1239	5,5,5	1277,16,1278
1240	0,0	120,400
1241	4,4,4	1279,1280,1281
1242	4,4	1282,1283
1244	5,5,5,5,5	1076,372,558,1284,1285
1247	0,0,0,0	31,463,1286,1287
1249	8,8	1027,60
1250	4,4,4,4,4,4	1288,1207,1288,1289,1290,1288
1253	7,7	1065,1291
1254	2,2,2,2	1292,1292,311,1292
1255	4,4	1293,1207
1256	0,0	128,170
1258	0,0,4	63,1057,510
1260	0,0	165,516
1263	2,2,2,2,2,2,2,2,2	244,1126,246,1022,1126,1022,1294,1023,371
1266	1,1,1,1,1,1,1	1295,1295,1296,1297,1295,1296,1295
1269	2,2	1298,1298
1271	0,0	116,74
1272	2,2,2,2	20,753,20,713
1273	5,5	1172,1299
1274	2,2,2,2,2,2	41,39,40,41,39,40
1278	9,2,2	204,161,168
1279	6,6,6	1300,1301,417
1280	8,8	1302,1303
1281	5,5,5	1304,1304,1304
1282	5,5,5,5,5,5,5,5	1305,1306,1307,1308,1305,1307,1309,1307
1283	0,0,0	31,46,462
1285	5,5,5,5,5	1310,1167,1168,1311,1312
1286	6,6	1313,1221
1289	0,0	410,1016
1292	5,5	354,1314
1293	3,3	1315,1316
1300	2,2,2,2,2,2,2,2	348,688,160,344,346,42,161,23
1301	6,6,6,6,6	1317,1318,1319,1318,1320
1302	2,2,2,2,2	3,1321,235,852,54
1305	6,6	1322,1323
1308	5,5	1324,1325
1309	2,2,2,2,2,2,2	730,653,730,1326,1327,551,588
1311	2,2	353,391
1312	2,2,2	40,41,39
1314	1,0,1,1	33,487,34,1328
1315	5,5,5,5,5	1329,1330,1331,1332,1331
1317	2,2	1179,594
1318	2,2,2	1080,608,253
1319	2,2,2	720,1333,1334
1321	5,5,5,5,5,5,5	195,1335,1336,665,511,1336,1335
1322	2,2,2,2,2,2	366,248,264,507,1337,242
1326	5,5	1338,1339
1330	0,0,0	397,31,397
1331	0,0,0,0	73,188,439,73
1336	1,1,1,1,1,1,1,1,1,1,1	151,521,522,523,1340,33,1340,522,523,521,1340
1337	2,2	1341,311
1340	5,5,5,5,5,5,5,5	1342,1343,1342,1228,651,1228,1342,1343
1341	6,6	1344,1345
1342	0,2,8,8,6,5	396,1346,1347,293,844,1348
1343	2,2,2	1349,1350,1349
1346	0,0,0,0	400,123,1351,1352
1347	2,2,2,2,2,2,2,2,2,2	40,22,1353,1354,1355,999,1333,1080,254,1334
1348	5,5	1356,1357
1349	5,5,5,5	1358,1359,1358,1359
1356	2,2	852,520
1358	2,2	1360,88
1367	5,5,1	959,1361,794
1368	2,2	1100,1362
1369	6,6,6,6,6,6	1363,1364,1365,1364,1363,1365
1370	4,1	1366,1367
1372	2,2	720,1080
1376	5,5	1368,1002
1377	2,2	1369,1369
1378	2,2	694,693
1380	2,2,2	1370,1371,666
1383	5,5	1372,1264
1386	2,2,2	145,107,360
1389	0,0	1245,10
1390	4,4,4,4	509,703,510,509
1391	5,5	670,450
1394	4,4,4	1373,1374,1375
1395	2,2	1376,1377
1397	2,2,2,2,2,2,2	852,54,366,852,47,18,366
1399	2,2,2,2	1378,443,1379,1378
1401	2,2	1133,1380
1403	5,5,5,5,5	1381,1039,1382,1383,1384
1406	5,5,5	1385,1386,1387
1408	0,0,0	63,1057,63
1411	2,2	1388,1389
1412	8,8,0,0	1390,1391,283,1392
1413	0,0,0,0,0,0,0	974,463,31,462,1393,968,1394
1414	4,4	1366,1366
1416	0,0	927,1261
1419	4,4,4	1395,1293,1396
1425	0,0,0,0	1118,1397,800,27
1427	1,1	1148,1398
1430	2,2,2	1399,1321,1400
1431	6,8,6,8	604,832,604,832
1433	6,6,6,6,6,6,6,6,6	1401,967,1401,966,569,1401,1402,966,569
1434	2,2	1403,1404
1439	0,0,0,0,0	1218,1405,715,714,715
1441	6,6,6	844,417,844
1442	0,0	1406,573
1444	2,2	879,1407
1446	6,6,6,6,6,6,6,6,6,6,6,6,6,6	328,327,1408,1409,324,1007,1410,86,328,327,1408,85,1410,1007
1447	5,5,5,5	1411,1412,1413,1411
1456	2,2,2,2	291,1275,1414,1415
1459	2,10	23,750
1467	1,0,0	137,1416,1417
1472	1,1	1418,1419
1473	0,0,0	10,1245,1420
1475	0,0,0	512,182,181
1480	2,2	1421,719
1483	2,2,2,2,2,2,2,2,2,0,0,0	1094,309,308,307,594,310,594,308,307,1422,1423,1424
1484	0,0,0,0,0	781,1425,543,780,1426
1487	2,2	1427,787
1488	2,2,2	636,1428,1429
1491	5,5,5,5,2,2,3	1224,1222,1430,1431,1432,45,1433
1492	2,6	1434,456
1496	6,6,8	1435,38,1436
1502	8,8	1437,1438
1503	0,0,0,0,0	1351,46,128,132,133
1506	2,2,2,2,2	1439,189,1440,552,1441
1507	2,2,2,2,2	41,39,308,309,310
1509	2,2,2	211,1442,1443
1515	1,1	33,36
1517	2,2,1,1,2,2	1444,1102,1274,989,146,263
1518	5,8,8,8	558,1445,1446,1447
1519	2,2,2	1448,1449,1450
1521	0,0	132,133
1522	5,5	339,1431
1523	2,5	1451,722
1525	6,6,6	709,708,1452
1526	8,8,8,8,8,5	1453,1454,1455,1456,1457,1458
1527	0,0	463,31
1534	5,6	1459,1460
1537	2,2,2	217,1461,1462
1540	6,6	1463,1464
1545	5,5,5,5,5,5,5,3,5,5,5	1172,1077,1465,1466,602,1467,602,944,1468,388,1469
1546	6,2	1470,1471
1548	6,6	605,604
1557	1,1,1,1,1,1,1,1	36,523,1472,1473,1474,1135,1026,1475
1558	2,2	1476,1477
1559	5,5	1478,1479
1565	0,0	648,401
1566	5,5	1480,1481
1567	0,0,0,0,0,0	1245,1482,10,946,1483,1484
1573	8,8,8,8,5,2,5,5,5,5	1485,1486,1487,1488,1489,1220,1490,1491,1492,1493
1579	1,1,1	1494,1495,1496
1581	5,5,5,5	1497,334,333,334
1582	0,0	1498,1499
1583	2,2,7,7,7,2,2,2,2,2,2,2,2,2	1500,1501,1502,1106,1503,1504,1505,1506,1507,694,693,161,1508,1509
1585	2,2	1510,788
1586	2,2,2,2,2,2,2,2	1511,1512,1513,1514,1515,1516,1515,1516
1587	0,0,0	199,116,188
1592	2,2,2,5,5,5,5,5	1517,1518,1519,1098,602,1098,1520,1521
1594	0,0,7,0,0,5,5	544,1522,1523,544,1524,1525,1526
1595	2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6	1139,217,900,505,1410,1008,111,1008,1221,1409,1452,1408,1527,1410,1008,1410
1605	0,0,0	116,30,188
1609	2,2,2	1528,41,39
1612	2,2,2	145,1214,985
1614	5,5,5,5,5,5	1529,1136,1530,1531,1530,1529
1620	2,2,2,2,2,2,2,2,2,2,2,2,2	1087,1510,341,1532,1533,1534,1091,1535,1536,1534,444,1091,1089
1622	2,2,2,2	362,19,367,47
1625	2,2,2,2,2,2,2,2,2,2,2	1537,729,1538,729,1539,729,1540,729,1540,1541,1540
1626	8,8,8,8,8,8	1542,1302,1542,1543,1542,1544
1627	5,2,2	1545,1546,1088
1629	5,5,5	1079,592,1547
1631	0,0	170,128
